bairro;ano;n_mvi;bairro_id;periodo;pct_area_dominacao_ada;pct_area_dominacao_cv;pct_area_dominacao_milicia;pct_area_dominacao_tcp;ips_2022_agua_saneamento;ips_2022_pessoas_vivendo_em_favelas_nao_urbanizadas;censo_2010_populacao_total;censo_2010_rendimento_domiciliar_medio_brl;fc_total_tiroteios;fc_acao_policial
Freguesia (Ilha do Governador);2019;3;1;1;0,0;0,0;0,0;5,664743;95,30617297930183;0,1408;19437;2801,22;6;1
Freguesia (Ilha do Governador);2020;0;1;2;0,0;0,0;0,0;5,664743;95,30617297930183;0,1408;19437;2801,22;2;0
Freguesia (Ilha do Governador);2021;0;1;3;0,0;0,0;0,0;5,664743;95,30617297930183;0,1408;19437;2801,22;2;0
Freguesia (Ilha do Governador);2022;0;1;4;0,0;0,0;0,0;3,977742;95,30617297930183;0,1408;19437;2801,22;2;1
Freguesia (Ilha do Governador);2023;1;1;5;0,0;0,0;0,0;5,664743;95,30617297930183;0,1408;19437;2801,22;1;0
Freguesia (Ilha do Governador);2024;1;1;6;0,0;0,0;0,0;5,664743;95,30617297930183;0,1408;19437;2801,22;1;0
Bancários;2019;0;2;1;5,881197;0,0;0,082233;9,416774;97,213146551538;0,4743;12512;2481,54;1;0
Bancários;2020;0;2;2;5,881197;0,0;0,082233;9,416774;97,213146551538;0,4743;12512;2481,54;5;1
Bancários;2021;0;2;3;5,881197;0,0;0,082233;9,416774;97,213146551538;0,4743;12512;2481,54;7;3
Bancários;2022;0;2;4;5,881197;0,0;0,082233;9,406142;97,213146551538;0,4743;12512;2481,54;3;1
Bancários;2023;0;2;5;5,881197;0,0;0,082233;9,416774;97,213146551538;0,4743;12512;2481,54;0;0
Bancários;2024;1;2;6;5,881197;0,0;0,082233;9,416774;97,213146551538;0,4743;12512;2481,54;1;1
Galeão;2019;8;3;1;0,0;1,801417;0,0;0,618446;79,13656602549601;0,0922;22971;2269,73;18;7
Galeão;2020;2;3;2;0,0;1,801417;0,0;0,618446;79,13656602549601;0,0922;22971;2269,73;10;3
Galeão;2021;9;3;3;0,0;1,801417;0,0;0,618446;79,13656602549601;0,0922;22971;2269,73;6;1
Galeão;2022;3;3;4;0,0;1,801417;0,0;0,618446;79,13656602549601;0,0922;22971;2269,73;27;16
Galeão;2023;0;3;5;0,0;1,801417;0,0;0,618446;79,13656602549601;0,0922;22971;2269,73;2;1
Galeão;2024;2;3;6;0,0;1,801417;0,0;0,618446;79,13656602549601;0,0922;22971;2269,73;10;5
Tauá;2019;7;4;1;0,005589;0,0;2,993182;14,619782;92,25212429437693;0,0798;29567;2310,23;0;0
Tauá;2020;2;4;2;0,005589;0,0;2,993182;14,619782;92,25212429437693;0,0798;29567;2310,23;1;1
Tauá;2021;1;4;3;0,005589;0,0;2,993182;14,619782;92,25212429437693;0,0798;29567;2310,23;1;0
Tauá;2022;1;4;4;0,005589;0,0;10,460134;7,15283;92,25212429437693;0,0798;29567;2310,23;4;0
Tauá;2023;1;4;5;0,005589;0,0;10,375221;7,15283;92,25212429437693;0,0798;29567;2310,23;6;2
Tauá;2024;3;4;6;0,005589;0,0;2,9082680000000005;14,619782;92,25212429437693;0,0798;29567;2310,23;6;2
Portuguesa;2019;1;5;1;0,0;0,0;0,0;16,014952;96,90272879153969;0,0;23856;3567,57;4;2
Portuguesa;2020;0;5;2;0,0;0,0;0,0;16,014952;96,90272879153969;0,0;23856;3567,57;3;0
Portuguesa;2021;6;5;3;0,0;0,0;0,0;16,014952;96,90272879153969;0,0;23856;3567,57;1;0
Portuguesa;2022;7;5;4;0,0;0,0;0,0;16,014952;96,90272879153969;0,0;23856;3567,57;2;1
Portuguesa;2023;3;5;5;0,0;0,0;0,0;16,014952;96,90272879153969;0,0;23856;3567,57;1;1
Portuguesa;2024;2;5;6;0,0;0,0;0,0;16,014952;96,90272879153969;0,0;23856;3567,57;0;0
Moneró;2019;1;6;1;0,0;0,0;0,0;0,0;86,00536736354526;0,0;6476;5068,63;1;0
Moneró;2020;0;6;2;0,0;0,0;0,0;0,0;86,00536736354526;0,0;6476;5068,63;0;0
Moneró;2021;0;6;3;0,0;0,0;0,0;0,0;86,00536736354526;0,0;6476;5068,63;0;0
Moneró;2022;0;6;4;0,0;0,0;0,0;0,0;86,00536736354526;0,0;6476;5068,63;0;0
Moneró;2023;1;6;5;0,0;0,0;0,0;0,0;86,00536736354526;0,0;6476;5068,63;0;0
Moneró;2024;1;6;6;0,0;0,0;0,0;0,0;86,00536736354526;0,0;6476;5068,63;0;0
Vigário Geral;2019;9;7;1;0,0;9,57907;0,0;4,390241;88,27565833556324;0,2709;41820;1420,75;21;6
